date,actual_data
2019-01-01,34402
2019-02-01,18300
2019-03-01,41222
2019-04-01,34759
2019-05-01,36466
2019-06-01,63172
2019-07-01,32652
2019-08-01,47527
2019-09-01,50415
2019-10-01,59648
2019-11-01,68161
2019-12-01,49004
2020-01-01,105873
2020-02-01,100527
2020-03-01,87490
2020-04-01,55696
2020-05-01,68786
2020-06-01,89509
2020-07-01,101099
2020-08-01,94370
2020-09-01,98981
2020-10-01,92752
2020-11-01,93740
2020-12-01,117391
2021-01-01,111100
2021-02-01,111034
2021-03-01,113964
2021-04-01,108454
2021-05-01,128108
2021-06-01,133040
2021-07-01,89687
2021-08-01,88650
2021-09-01,112175
2021-10-01,142116
2021-11-01,149469
2021-12-01,168243
2022-01-01,168287
2022-02-01,161501
2022-03-01,226416
2022-04-01,119442
2022-05-01,218851
2022-06-01,159315
2022-07-01,160356
2022-08-01,132748
2022-09-01,126987
2022-10-01,159926
2022-11-01,167030
2022-12-01,180735
2023-01-01,217229
2023-02-01,147888
2023-03-01,148625
2023-04-01,164130
2023-05-01,189552
2023-06-01,177951
2023-07-01,148327
2023-08-01,108488
2023-09-01,103211
2023-10-01,107285
2023-11-01,109650
2023-12-01,151709
